date;opening;max;min;close;nominalCount
2014-05-27 16:59:32;2,18;2,25;2,15;2,22;954.553,00;
2014-05-26 16:59:54;2,14;2,18;2,14;2,17;364.367,00;
2014-05-23 16:58:55;2,15;2,22;2,02;2,14;1.652.555,00;
2014-05-22 16:59:24;2,10;2,19;2,10;2,15;2.914.639,00;
2014-05-21 16:52:42;1,85;2,08;1,85;2,00;3.876.683,00;
2014-05-20 16:58:38;1,80;1,87;1,77;1,83;1.110.876,00;
2014-05-19 17:00:40;1,71;1,82;1,69;1,80;1.051.705,00;
2014-05-16 16:55:53;1,65;1,74;1,61;1,73;724.959,00;
2014-05-15 16:57:52;1,65;1,70;1,65;1,66;554.563,00;
2014-05-14 16:59:18;1,71;1,73;1,67;1,72;516.765,00;
2014-05-13 16:58:57;1,73;1,77;1,70;1,70;686.833,00;
2014-05-12 16:43:59;1,72;1,74;1,70;1,72;307.395,00;
2014-05-09 16:49:54;1,70;1,74;1,66;1,72;713.251,00;
2014-05-08 16:59:48;1,74;1,78;1,66;1,70;1.136.260,00;
2014-05-07 16:59:33;1,80;1,80;1,74;1,74;896.043,00;
2014-05-06 16:57:24;1,83;1,84;1,77;1,81;661.302,00;
2014-05-05 17:00:38;1,78;1,83;1,75;1,82;838.516,00;
2014-04-30 17:00:04;1,75;1,76;1,71;1,76;853.913,00;
2014-04-29 16:59:57;1,84;1,86;1,76;1,78;1.014.753,00;
2014-04-28 17:00:37;1,79;1,84;1,77;1,84;1.077.505,00;
2014-04-25 17:00:11;1,73;1,76;1,65;1,74;969.320,00;
2014-04-24 16:59:44;1,82;1,88;1,65;1,74;1.376.716,00;
2014-04-23 16:59:49;1,76;1,82;1,76;1,81;1.815.345,00;
2014-04-22 16:58:52;1,65;1,76;1,64;1,76;1.392.833,00;
2014-04-21 16:56:02;1,59;1,63;1,55;1,63;724.884,00;
2014-04-16 16:59:41;1,59;1,60;1,57;1,57;875.781,00;
2014-04-15 16:56:04;1,63;1,63;1,55;1,58;690.397,00;
2014-04-14 17:00:00;1,67;1,67;1,59;1,61;443.306,00;
2014-04-11 16:59:32;1,68;1,68;1,59;1,64;923.587,00;
2014-04-10 17:00:36;1,53;1,68;1,53;1,68;3.547.800,00;
2014-04-09 16:56:51;1,55;1,60;1,50;1,53;1.611.821,00;
2014-04-08 16:59:46;1,42;1,52;1,42;1,52;3.097.962,00;
2014-04-07 16:59:08;1,42;1,42;1,39;1,41;649.556,00;
2014-04-04 17:00:13;1,45;1,45;1,41;1,42;1.020.314,00;
2014-04-03 16:57:08;1,44;1,45;1,41;1,43;2.448.445,00;
2014-04-01 16:59:14;1,41;1,44;1,40;1,41;1.140.305,00;
2014-03-31 16:48:20;1,40;1,43;1,37;1,41;1.868.887,00;
2014-03-28 17:00:09;1,40;1,42;1,35;1,37;990.752,00;
2014-03-27 16:54:15;1,39;1,44;1,37;1,40;1.423.838,00;
2014-03-26 16:54:14;1,32;1,37;1,30;1,35;1.791.385,00;
2014-03-25 16:45:10;1,32;1,32;1,28;1,28;266.698,00;
2014-03-21 16:56:53;1,29;1,32;1,29;1,30;233.935,00;
2014-03-20 16:43:35;1,26;1,32;1,26;1,26;667.785,00;
2014-03-19 17:00:04;1,28;1,28;1,25;1,25;125.471,00;
2014-03-18 16:59:01;1,29;1,29;1,26;1,28;196.846,00;
2014-03-17 16:53:28;1,29;1,30;1,26;1,30;175.567,00;
2014-03-14 16:50:23;1,32;1,32;1,29;1,30;143.427,00;
2014-03-13 16:47:43;1,32;1,33;1,29;1,30;184.522,00;
2014-03-12 16:44:45;1,31;1,33;1,28;1,32;174.562,00;
2014-03-11 16:57:07;1,33;1,33;1,30;1,30;142.887,00;
2014-03-10 16:55:51;1,36;1,36;1,30;1,33;211.763,00;
2014-03-07 17:00:03;1,33;1,37;1,31;1,33;287.354,00;
2014-03-06 16:55:05;1,32;1,34;1,29;1,31;230.254,00;
2014-03-05 16:59:51;1,34;1,34;1,28;1,29;383.859,00;
2014-02-28 16:56:16;1,28;1,37;1,28;1,33;602.115,00;
2014-02-27 16:59:42;1,27;1,27;1,25;1,27;73.629,00;
2014-02-26 16:55:35;1,25;1,29;1,25;1,27;140.560,00;
2014-02-25 16:59:41;1,33;1,34;1,29;1,29;146.439,00;
2014-02-24 16:43:29;1,36;1,37;1,33;1,34;190.937,00;
2014-02-21 16:55:34;1,36;1,38;1,35;1,36;208.477,00;
2014-02-20 15:12:16;1,34;1,39;1,34;1,35;118.588,00;
2014-02-19 16:58:53;1,36;1,36;1,31;1,34;159.253,00;
2014-02-18 16:41:38;1,37;1,37;1,33;1,35;517.527,00;
2014-02-17 17:00:48;1,29;1,38;1,29;1,37;823.674,00;
2014-02-14 16:57:18;1,25;1,30;1,25;1,29;717.574,00;
2014-02-13 16:56:06;1,25;1,25;1,20;1,20;247.056,00;
2014-02-12 16:21:22;1,25;1,26;1,24;1,25;123.089,00;
2014-02-11 16:53:25;1,21;1,25;1,20;1,20;174.443,00;
2014-02-10 16:55:31;1,20;1,22;1,19;1,19;193.543,00;
2014-02-07 16:54:07;1,31;1,31;1,20;1,25;364.812,00;
2014-02-06 16:56:13;1,32;1,34;1,26;1,31;235.649,00;
2014-02-05 16:58:13;1,39;1,39;1,30;1,34;302.165,00;
2014-02-04 17:01:05;1,37;1,39;1,35;1,36;222.454,00;
2014-02-03 16:58:45;1,39;1,41;1,35;1,37;1.310.337,00;
2014-01-31 16:46:33;1,30;1,33;1,29;1,32;215.139,00;
2014-01-30 17:00:34;1,26;1,28;1,22;1,28;170.235,00;
2014-01-29 16:58:18;1,17;1,24;1,14;1,24;318.041,00;
2014-01-28 16:59:46;1,18;1,18;1,13;1,17;471.431,00;
2014-01-27 17:00:29;1,20;1,20;1,09;1,18;366.546,00;
2014-01-24 16:59:54;1,24;1,25;1,20;1,21;348.409,00;
2014-01-23 16:49:57;1,37;1,37;1,22;1,27;744.620,00;
2014-01-22 16:55:24;1,35;1,38;1,34;1,34;388.009,00;
2014-01-21 16:21:56;1,40;1,40;1,35;1,35;309.071,00;
2014-01-20 16:48:01;1,38;1,39;1,34;1,38;372.505,00;
2014-01-17 16:57:28;1,30;1,39;1,30;1,36;727.502,00;
2014-01-16 16:59:59;1,29;1,29;1,27;1,28;270.226,00;
2014-01-15 16:59:58;1,25;1,27;1,24;1,25;405.460,00;
2014-01-14 16:57:35;1,23;1,24;1,22;1,22;250.642,00;
2014-01-13 16:58:26;1,21;1,22;1,20;1,22;167.704,00;
2014-01-10 16:57:34;1,23;1,25;1,18;1,18;305.207,00;
2014-01-09 16:46:06;1,23;1,23;1,20;1,21;78.297,00;
2014-01-08 16:57:19;1,15;1,27;1,15;1,23;236.654,00;
2014-01-07 16:59:55;1,24;1,25;1,17;1,21;403.183,00;
2014-01-06 16:55:05;1,23;1,32;1,23;1,24;746.473,00;
2014-01-03 16:59:39;1,09;1,25;1,09;1,23;676.529,00;
2014-01-02 16:52:38;1,07;1,09;1,06;1,09;317.516,00;
2013-12-30 16:58:10;1,07;1,08;1,04;1,04;195.195,00;
2013-12-27 16:52:26;1,06;1,07;1,02;1,07;641.503,00;
2013-12-26 16:49:35;1,06;1,10;1,06;1,07;152.230,00;
2013-12-23 16:56:56;1,12;1,12;1,09;1,11;236.013,00;
2013-12-20 16:57:22;1,08;1,15;1,06;1,13;746.699,00;
2013-12-19 16:59:27;1,16;1,19;1,06;1,08;1.008.272,00;
2013-12-18 16:56:11;1,20;1,20;1,15;1,17;283.626,00;
2013-12-17 16:52:37;1,20;1,22;1,16;1,19;386.072,00;
2013-12-16 16:59:01;1,25;1,26;1,21;1,25;127.720,00;
2013-12-13 16:36:34;1,22;1,25;1,22;1,25;187.856,00;
2013-12-12 16:59:58;1,24;1,24;1,19;1,20;153.520,00;
2013-12-11 16:36:55;1,22;1,29;1,22;1,23;133.548,00;
2013-12-10 16:59:58;1,28;1,28;1,23;1,25;139.256,00;
2013-12-09 16:53:03;1,30;1,36;1,29;1,29;356.621,00;
2013-12-06 16:59:31;1,27;1,31;1,27;1,29;527.056,00;
2013-12-05 16:54:20;1,26;1,31;1,25;1,26;462.519,00;
2013-12-04 17:00:51;1,25;1,32;1,24;1,26;664.963,00;
2013-12-03 16:56:29;1,35;1,35;1,22;1,25;839.914,00;
2013-12-02 16:52:06;1,43;1,49;1,34;1,35;864.430,00;
2013-11-29 16:59:57;1,42;1,47;1,40;1,43;534.217,00;
2013-11-28 17:00:02;1,47;1,50;1,42;1,50;473.939,00;
2013-11-27 16:59:37;1,51;1,51;1,42;1,44;924.063,00;
2013-11-26 16:59:55;1,56;1,59;1,48;1,51;2.076.601,00;
2013-11-22 16:59:24;1,35;1,43;1,35;1,42;1.480.048,00;
2013-11-21 16:59:32;1,29;1,35;1,29;1,31;434.414,00;
2013-11-20 16:57:36;1,29;1,29;1,23;1,27;773.438,00;
2013-11-19 16:48:37;1,25;1,27;1,17;1,18;1.254.807,00;
2013-11-18 16:45:48;1,35;1,35;1,28;1,29;159.735,00;
2013-11-15 16:52:30;1,33;1,38;1,30;1,31;405.660,00;
2013-11-14 16:55:35;1,22;1,34;1,22;1,30;375.116,00;
2013-11-13 16:58:21;1,27;1,27;1,20;1,23;366.950,00;
2013-11-12 16:33:01;1,31;1,31;1,28;1,28;119.057,00;
2013-11-11 16:59:57;1,35;1,35;1,28;1,33;537.980,00;
2013-11-08 16:58:52;1,34;1,39;1,32;1,33;291.526,00;
2013-11-07 16:59:53;1,45;1,49;1,34;1,35;1.172.358,00;
2013-11-05 16:59:00;1,33;1,41;1,32;1,41;1.241.159,00;
2013-11-04 16:56:26;1,23;1,32;1,23;1,32;971.984,00;
2013-11-01 16:50:58;1,21;1,29;1,20;1,24;562.303,00;
2013-10-31 17:00:23;1,19;1,24;1,14;1,18;935.604,00;
2013-10-30 16:56:27;1,15;1,25;1,08;1,16;1.813.350,00;
2013-10-29 17:00:01;1,31;1,31;1,12;1,14;2.090.514,00;
2013-10-28 17:00:03;1,45;1,45;1,28;1,30;1.220.179,00;
2013-10-25 16:58:17;1,50;1,50;1,35;1,42;2.184.774,00;
2013-10-24 16:58:15;1,35;1,48;1,35;1,46;2.237.147,00;
2013-10-23 16:59:13;1,55;1,56;1,38;1,38;2.357.071,00;
2013-10-22 17:00:06;1,67;1,67;1,53;1,62;1.953.404,00;
2013-10-21 16:57:19;1,56;1,63;1,56;1,63;1.936.242,00;
2013-10-18 17:00:08;1,46;1,54;1,44;1,53;2.413.004,00;
2013-10-17 16:59:47;1,32;1,43;1,30;1,43;1.424.113,00;
2013-10-16 16:58:32;1,40;1,44;1,24;1,32;2.837.287,00;
2013-10-15 17:00:58;1,47;1,50;1,35;1,37;1.949.882,00;
2013-10-11 16:59:53;1,30;1,35;1,30;1,34;1.613.552,00;
2013-10-10 16:59:50;1,25;1,32;1,22;1,26;2.742.164,00;
2013-10-09 16:59:16;1,19;1,23;1,19;1,22;1.119.174,00;
2013-10-08 16:59:41;1,15;1,21;1,15;1,18;1.353.165,00;
2013-10-07 16:58:05;1,15;1,17;1,13;1,15;1.002.719,00;
2013-10-04 16:54:35;1,13;1,17;1,10;1,11;573.647,00;
2013-10-03 16:55:23;1,17;1,17;1,11;1,14;422.551,00;
2013-10-02 16:58:18;1,20;1,20;1,12;1,15;1.413.638,00;
2013-10-01 17:00:05;1,10;1,18;1,10;1,18;2.373.691,00;
2013-09-30 16:58:14;0,98;1,08;0,97;1,08;1.559.149,00;
2013-09-27 17:00:23;1,03;1,06;1,00;1,00;814.050,00;
2013-09-26 17:00:21;1,07;1,08;0,99;1,02;1.335.720,00;
2013-09-25 17:00:01;1,09;1,15;1,03;1,07;2.408.064,00;
2013-09-24 16:59:55;1,18;1,23;1,06;1,12;2.565.557,00;
